CODGEO;LIBGEO
59005;ALLENNES-LES-MARAIS
59009;VILLENEUVE-D'ASCQ
59011;ANNŒULLIN
59013;ANSTAING
59017;ARMENTIÈRES
59025;AUBERS
59044;BAISIEUX
59051;LA BASSÉE
59052;BAUVIN
59056;BEAUCAMPS-LIGNY
59088;BOIS-GRENIER
59090;BONDUES
59098;BOUSBECQUE
59106;BOUVINES
59128;CAPINGHEM
59133;CARNIN
59143;LA CHAPELLE-D'ARMENTIÈRES
59146;CHÉRENG
59152;COMINES
59163;CROIX
59173;DEÛLÉMONT
59193;EMMERIN
59195;ENGLOS
59196;ENNETIÈRES-EN-WEPPES
59201;ERQUINGHEM-LE-SEC
59202;ERQUINGHEM-LYS
59208;ESCOBECQUES
59220;FACHES-THUMESNIL
59247;FOREST-SUR-MARQUE
59250;FOURNES-EN-WEPPES
59252;FRELINGHIEN
59256;FRETIN
59257;FROMELLES
59275;GRUSON
59278;HALLENNES-LEZ-HAUBOURDIN
59279;HALLUIN
59281;HANTAY
59286;HAUBOURDIN
59299;HEM
59303;HERLIES
59316;HOUPLIN-ANCOISNE
59317;HOUPLINES
59320;ILLIES
59328;LAMBERSART
59332;LANNOY
59339;LEERS
59343;LESQUIN
59346;LEZENNES
59350;LILLE
59352;LINSELLES
59356;LOMPRET
59360;LOOS
59367;LYS-LEZ-LANNOY
59368;LA MADELEINE
59371;LE MAISNIL
59378;MARCQ-EN-BARŒUL
59386;MARQUETTE-LEZ-LILLE
59388;MARQUILLIES
59410;MONS-EN-BARŒUL
59421;MOUVAUX
59426;NEUVILLE-EN-FERRAIN
59437;NOYELLES-LÈS-SECLIN
59457;PÉRENCHIES
59458;PÉRONNE-EN-MÉLANTOIS
59470;PRÉMESQUES
59477;PROVIN
59482;QUESNOY-SUR-DEÛLE
59487;RADINGHEM-EN-WEPPES
59507;RONCHIN
59508;RONCQ
59512;ROUBAIX
59522;SAILLY-LEZ-LANNOY
59523;SAINGHIN-EN-MÉLANTOIS
59524;SAINGHIN-EN-WEPPES
59527;SAINT-ANDRÉ-LEZ-LILLE
59550;SALOMÉ
59553;SANTES
59560;SECLIN
59566;SEQUEDIN
59585;TEMPLEMARS
59598;TOUFFLERS
59599;TOURCOING
59602;TRESSIN
59609;VENDEVILLE
59611;VERLINGHEM
59636;WAMBRECHIES
59643;WARNETON
59646;WASQUEHAL
59648;WATTIGNIES
59650;WATTRELOS
59653;WAVRIN
59656;WERVICQ-SUD
59658;WICRES
59660;WILLEMS
59670;DON
